promotion_id,promotion_type,discount_amount,valid_from,valid_to
4ae9a6e1-5331-4831-b84b-bb0621c6538b,Discount,13.342457753791251,2024-04-24 21:24:38.269359,2024-05-08 21:24:38.269359
0931ddab-81b8-42e3-9f6c-49443865ae13,Coupon Code,16.605107429361585,2024-04-30 15:44:19.501987,2024-05-07 15:44:19.501987
ae9944c7-4f51-45cb-8925-ae5bf924a89f,Coupon Code,44.595075606201036,2024-05-23 19:14:54.823772,2024-06-05 19:14:54.823772
1436e844-4dc4-4b24-aad2-05e6534b059b,Coupon Code,23.334549383302832,2024-06-04 14:07:51.652246,2024-06-07 14:07:51.652246
5841bf5c-5176-414e-b595-3e219b64ff52,Discount,42.24381920376201,2024-05-12 23:08:26.366535,2024-05-16 23:08:26.366535
0602eb81-8db0-47f3-8739-4ba6666c6e5f,Referral Bonus,40.68906981627252,2024-05-04 01:47:32.334884,2024-05-30 01:47:32.334884
5e58219c-cb57-4855-a0d5-a2210c216544,Referral Bonus,5.214599062646782,2024-05-30 09:16:35.043905,2024-06-24 09:16:35.043905
01c70493-a92b-4408-936b-09a084d8ee32,Referral Bonus,20.150052568838454,2024-06-06 17:53:33.273490,2024-06-28 17:53:33.273490
a61b0ddf-853d-460f-a24e-0532755f5cd3,Referral Bonus,11.403103465175263,2024-05-14 11:42:51.469354,2024-06-07 11:42:51.469354
c42370f1-971b-4836-a8a0-a58910e7d55b,Referral Bonus,34.7022447841199,2024-06-05 06:50:36.312537,2024-06-25 06:50:36.312537
82b39965-fd02-4aa0-b739-a0acfef928b2,Referral Bonus,45.62546018540851,2024-05-21 19:24:10.887779,2024-06-08 19:24:10.887779
2bacbede-a87b-44dd-a290-21ec20a13909,Referral Bonus,6.359381030276621,2024-06-14 12:13:43.405541,2024-06-24 12:13:43.405541
2de2756c-ba40-4721-8693-fe2fa1b02c10,Discount,33.63419434074942,2024-05-17 16:33:41.731553,2024-06-05 16:33:41.731553
a00a3114-05f1-46fb-87ca-41ca22d4bf12,Discount,16.320809750255513,2024-06-11 12:02:30.398610,2024-06-22 12:02:30.398610
d5db884e-0288-4b48-b3e1-5235ef4c4eeb,Discount,49.66742568555554,2024-04-19 18:05:31.749360,2024-04-30 18:05:31.749360
5547d3a8-0887-4bb9-ac39-d8b7e260bbf0,Referral Bonus,14.37993126346512,2024-05-13 04:59:37.106656,2024-05-25 04:59:37.106656
