coupon_id,coupon_code,discount_amount,valid_from,valid_to
43603adb-8832-46e7-8320-7da7debdb1ad,GYD9D2ZP,17.44406985221046,2024-05-18 12:45:52.756201,2024-06-09 12:45:52.756201
50fef72c-0a2c-4aed-8310-1c2da9c4737d,MMAS50YB,14.080263777203067,2024-06-06 16:17:24.799017,2024-06-22 16:17:24.799017
717a26ac-5168-4aba-a799-b7f2acce227b,39ELM636,47.062591348621424,2024-06-13 09:45:08.020605,2024-06-27 09:45:08.020605
cef68d6a-9d34-418e-b691-737922a5ea35,H7JRBN6M,35.367116340260424,2024-06-03 22:55:45.402007,2024-06-07 22:55:45.402007
dc800460-0277-458f-b3ae-8de0f590de3d,5MFMCDZU,37.239876896074115,2024-05-26 01:55:31.929229,2024-06-10 01:55:31.929229
d3d76032-9607-424f-848a-51be4e23fffe,HHJIWPB1,12.259473647061665,2024-05-08 10:58:00.838984,2024-05-13 10:58:00.838984
4e4dfd57-148b-4cc8-9c25-fed578f25d92,X4461EJ9,25.526086067960552,2024-05-10 15:17:37.719384,2024-06-01 15:17:37.719384
a4ecc996-b21f-47e3-a146-64659c460c3d,3CM61NH8,33.54567130435354,2024-04-30 03:07:30.692784,2024-05-22 03:07:30.692784
76773f02-70d4-40aa-85a1-984f177d093e,44TF1OCL,34.75162530972956,2024-06-03 15:42:16.195474,2024-06-19 15:42:16.195474
71bde70e-de7a-4f7e-915a-8dec599503e5,K72UZT1E,20.93667435566337,2024-05-05 22:56:48.108168,2024-05-15 22:56:48.108168
1a02601c-abf1-44fb-bf98-383dcbd4abb6,S9EK0RSY,36.94153129405183,2024-04-20 04:58:32.388743,2024-05-19 04:58:32.388743
53ba0b9e-fcb6-4cf8-bc3a-91a577b8a469,2I72K2WI,23.104616824149634,2024-05-23 20:55:37.394273,2024-05-31 20:55:37.394273
0fd549bb-33c4-40fa-8fea-422ba407eb95,PDNSDJD5,18.788572503542703,2024-04-18 21:42:05.731148,2024-04-29 21:42:05.731148
a4efa562-e041-409b-8f39-d26def920ab8,W30867FP,46.160719452823095,2024-06-06 12:45:30.753120,2024-07-04 12:45:30.753120
f6039684-1506-46a7-bda6-b908ee155d62,S7C0SB6L,18.364495152523816,2024-06-12 00:48:16.724181,2024-07-09 00:48:16.724181
cd68552f-c03b-444a-937a-bb1279b25ffd,YG5NJD9Z,43.41548829711741,2024-05-17 11:46:36.832867,2024-05-18 11:46:36.832867
49943a18-e0af-413d-b16a-db12d842b69c,VGUGRJYB,33.29073612138775,2024-05-08 11:04:26.011426,2024-05-27 11:04:26.011426
8e017589-a8bb-431f-83c2-746499cf7b15,ATDL2V06,31.14433566752029,2024-05-31 07:19:07.146158,2024-06-18 07:19:07.146158
96ddfdca-d851-4a9b-9c81-3d9b18f94d92,M5C05MOL,18.345373501602296,2024-06-05 20:43:07.553464,2024-06-28 20:43:07.553464
5377e382-55da-43a5-a1cd-faff151dd777,G17EGARZ,26.899124700915927,2024-04-25 03:45:02.223429,2024-04-30 03:45:02.223429
3110f919-c5f8-475d-993c-41cc30035fe8,LRM3CGVR,47.13622296420688,2024-05-20 04:54:43.146527,2024-06-02 04:54:43.146527
7ee728cc-8099-42e6-a778-5e51245eb324,EWU6P3QX,30.42848582283775,2024-05-29 09:57:25.250749,2024-06-20 09:57:25.250749
1f836cc0-2fc2-40b5-b78f-5046bb9ad600,J4S8D7XZ,27.06942930921887,2024-04-23 05:58:06.335825,2024-05-12 05:58:06.335825
70ff39c6-4d0e-4dd3-8626-79f4ea02d0ef,9N9DUEWA,47.58371446047489,2024-05-22 11:27:09.283642,2024-06-05 11:27:09.283642
6cca886b-4867-41fa-a1a4-d23fd1ea98b5,Q83SQ7DJ,41.298095901142055,2024-06-10 19:46:34.917554,2024-06-22 19:46:34.917554
0d10f2dc-668b-4484-9db9-a28dbf457f0e,1X0C2CPD,29.95682830217601,2024-06-01 21:26:24.950346,2024-06-28 21:26:24.950346
ba6ec3be-64ec-42db-b8ba-e325f7e7c343,AB3070F3,31.84438964545407,2024-06-09 13:17:00.787757,2024-07-08 13:17:00.787757
10f1d304-0e23-4107-b7b7-a18192156d47,XQ8QVA7M,23.053232843916906,2024-06-02 13:18:11.772459,2024-06-27 13:18:11.772459
412a4a66-f922-46a3-97c6-1576a71ed512,UFYVBTRM,33.322684291692326,2024-06-05 10:24:35.066821,2024-06-17 10:24:35.066821
31529eb2-fecb-49ae-8056-b8922a3ae950,NNSGE9TM,18.642289368729177,2024-05-25 12:01:59.056094,2024-06-07 12:01:59.056094
e3c919cf-e0fa-4a3d-8ad7-d409344c2464,2RCVRW8N,32.55881092202392,2024-06-10 07:08:28.111967,2024-06-22 07:08:28.111967
077915c0-15dd-461e-a352-df2843e0fb33,QA4EGQC7,34.230121205939895,2024-06-11 02:07:13.912305,2024-07-06 02:07:13.912305
c13efaf8-15c3-457c-b03e-59381019d652,4CJYC998,37.005918472686794,2024-05-24 20:01:51.660265,2024-06-09 20:01:51.660265
135cd4eb-5a3f-4acc-987e-096bbe1a43ac,SD5MEN6C,24.54773180593399,2024-05-11 17:24:22.894220,2024-05-22 17:24:22.894220
dd45e59a-da4a-4bd4-8f91-6ef78634cc14,O9BJOWSW,32.50084459193235,2024-04-24 01:44:45.134947,2024-04-26 01:44:45.134947
ba117ed5-1f2e-4ce4-a868-0035b94ec8e7,1PVTMP7O,43.216990348579166,2024-04-29 19:46:37.325830,2024-05-24 19:46:37.325830
f905fef2-db65-435b-bd39-c8a4927f77f3,JM7QHYXC,43.34472526888636,2024-05-09 01:00:45.505233,2024-05-20 01:00:45.505233
db770a14-c5b0-4a87-9d9d-fc289c2313f6,NJHCK1CC,46.83986017964133,2024-06-05 08:30:54.032880,2024-06-28 08:30:54.032880
953a4dd9-2292-42e4-9c1b-1fa5753c0627,P01LJERQ,24.34192238252156,2024-05-27 12:12:42.556851,2024-06-19 12:12:42.556851
5e330cee-31ff-4d80-b03d-c0a8b13ee904,DRC71YL5,11.638143606561595,2024-05-11 22:08:41.365166,2024-05-18 22:08:41.365166
